route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCESN-1209988,000112,OCESN14033F795907:2022-03-10T20:29:31Z,14033,1,,
OCESN-1209988,000101,OCESN14034F606579:2022-03-01T20:49:34Z,14034,0,,
OCESN-1209988,000105,OCESN14034F717220:2022-03-08T20:46:18Z,14034,0,,
OCESN-1209988,000113,OCESN14035F519747:2022-03-01T20:49:34Z,14035,1,,
OCESN-1209988,000103,OCESN14035F616171:2022-02-14T09:22:38Z,14035,1,,
OCESN-1209988,000114,OCESN14035F711388:2022-03-08T20:46:18Z,14035,1,,
OCESN-1209988,000115,OCESN14036F600110:2022-03-05T20:29:52Z,14036,0,,
OCESN-1209988,000116,OCESN14036F627441:2022-03-05T20:29:52Z,14036,0,,
OCESN-1209988,000117,OCESN14036F782340:2022-03-05T20:29:52Z,14036,0,,
OCESN-1209988,000118,OCESN14036F784797:2022-03-08T20:46:18Z,14036,0,,
OCESN-1209988,000119,OCESN14037F523215:2022-03-01T20:49:34Z,14037,1,,
OCESN-1209988,000120,OCESN14037F616119:2022-02-14T09:22:38Z,14037,1,,
OCESN-1209988,000121,OCESN14037F789540:2022-03-10T20:29:31Z,14037,1,,
OCESN-1209988,000122,OCESN14038F647240:2022-02-14T09:22:38Z,14038,0,,
OCESN-1209988,000123,OCESN14038F656405:2022-03-09T20:30:55Z,14038,0,,
OCESN-1209988,000124,OCESN14038F795949:2022-03-09T20:30:55Z,14038,0,,
OCESN-1209988,000101,OCESN14040F600284:2022-03-07T20:46:24Z,14040,0,,
OCESN-1209988,000105,OCESN14040F789244:2022-03-08T20:46:18Z,14040,0,,
OCESN-1209988,000125,OCESN14041F553301:2022-02-14T09:22:38Z,14041,1,,
OCESN-1209988,000040,OCESN14041F581163:2022-03-09T20:30:55Z,14041,1,,
OCESN-1209988,000126,OCESN14041F711379:2022-03-01T20:49:34Z,14041,1,,
